baseline,score_field,threshold,threshold_rule,precision,recall,specificity,f1,accuracy,auroc,auprc,tp,fp,tn,fn,positive_count,negative_count,selection_policy,description
mean_spilled_energy_abs_delta,mean_spilled_energy_abs_delta,0.824513,predict_positive_if_score_gte_threshold,0.511111,1.0,0.0,0.676471,0.511111,0.366491,0.471519,69,66,0,0,69,66,threshold_selected_on_pilot20_max_f1_optimistic,Higher mean adjacent-step energy mismatch indicates more inconsistency.
max_spilled_energy_abs_delta,max_spilled_energy_abs_delta,0.892475,predict_positive_if_score_gte_threshold,0.511111,1.0,0.0,0.676471,0.511111,0.427536,0.472411,69,66,0,0,69,66,threshold_selected_on_pilot20_max_f1_optimistic,Higher maximum adjacent-step energy mismatch catches one inconsistent token inside a span.
mean_spilled_energy_delta,mean_spilled_energy_delta,-5.875374,predict_positive_if_score_gte_threshold,0.511111,1.0,0.0,0.676471,0.511111,0.528986,0.55228,69,66,0,0,69,66,threshold_selected_on_pilot20_max_f1_optimistic,Signed Spilled Energy delta averaged over the span.
negative_mean_spilled_energy_delta,negative_mean_spilled_energy_delta,-1.906769,predict_positive_if_score_gte_threshold,0.522727,1.0,0.045455,0.686567,0.533333,0.471014,0.560333,69,63,3,0,69,66,threshold_selected_on_pilot20_max_f1_optimistic,Opposite direction of signed Spilled Energy delta for direction-sensitivity checks.
mean_spilled_probability_mass_after_top1,mean_spilled_probability_mass_after_top1,0.000933,predict_positive_if_score_gte_threshold,0.59375,0.826087,0.409091,0.690909,0.622222,0.66469,0.645199,57,39,27,12,69,66,threshold_selected_on_pilot20_max_f1_optimistic,Higher non-top1 probability mass indicates a less concentrated token distribution.
mean_spilled_probability_mass_after_top2,mean_spilled_probability_mass_after_top2,1e-06,predict_positive_if_score_gte_threshold,0.511111,1.0,0.0,0.676471,0.511111,0.634497,0.634977,69,66,0,0,69,66,threshold_selected_on_pilot20_max_f1_optimistic,Higher probability mass outside the top two choices indicates diffuse token uncertainty.
max_selected_step_energy_gap,max_selected_step_energy_gap,0.00494,predict_positive_if_score_gte_threshold,0.59375,0.826087,0.409091,0.690909,0.622222,0.658981,0.673768,57,39,27,12,69,66,threshold_selected_on_pilot20_max_f1_optimistic,Maximum same-step selected-token energy gap; equivalent to a max token NLL control.
