condition_id,condition_name,evidence_order_policy,record_count,format_valid_count,exact_order_match_count,exact_order_match_rate,correct_rank_rows,total_gold_rank_rows,correct_rank_row_rate,gold_presence_rows,evidence_membership_rows,copied_evidence_amount_rows,sorted_output_count,evidence_prefix_rows
structured_shuffled,structured top3,deterministic_hash_by_question_and_product,3,3,0,0.0,0,9,0.0,1,9,9,0,7
sorted_control,sorted-evidence top3 control,sorted_by_net_revenue_desc_control,3,3,2,0.666667,6,9,0.666667,8,9,9,3,6
