baseline,score_field,threshold,threshold_rule,precision,recall,specificity,f1,accuracy,auroc,auprc,tp,fp,tn,fn,positive_count,negative_count,selection_policy,description
mean_token_nll,mean_token_nll,0.000936,predict_positive_if_score_gte_threshold,0.59375,0.826087,0.409091,0.690909,0.622222,0.669741,0.653475,57,39,27,12,69,66,threshold_selected_on_pilot20_max_f1_optimistic,Higher mean token negative log probability indicates more uncertainty.
mean_token_entropy,mean_token_entropy,0.006354,predict_positive_if_score_gte_threshold,0.59375,0.826087,0.409091,0.690909,0.622222,0.666008,0.653964,57,39,27,12,69,66,threshold_selected_on_pilot20_max_f1_optimistic,Higher mean token entropy indicates more uncertainty.
max_token_entropy,max_token_entropy,0.032788,predict_positive_if_score_gte_threshold,0.59375,0.826087,0.409091,0.690909,0.622222,0.655468,0.70288,57,39,27,12,69,66,threshold_selected_on_pilot20_max_f1_optimistic,Higher maximum token entropy catches one uncertain token inside a span.
one_minus_mean_top2_margin,one_minus_mean_top2_margin,0.001716,predict_positive_if_score_gte_threshold,0.59375,0.826087,0.409091,0.690909,0.622222,0.663043,0.639087,57,39,27,12,69,66,threshold_selected_on_pilot20_max_f1_optimistic,Higher value means lower average top-2 margin across the span.
one_minus_min_top2_margin,one_minus_min_top2_margin,0.013059,predict_positive_if_score_gte_threshold,0.602151,0.811594,0.439394,0.691358,0.62963,0.671168,0.6789,56,37,29,13,69,66,threshold_selected_on_pilot20_max_f1_optimistic,Higher value means at least one token has a low top-2 margin.
