arm,condition,signal,split,threshold,tp,fp,tn,fn,precision,recall,specificity,f1,accuracy,balanced_accuracy,mcc,average_precision,auroc,positive_prevalence,span_count
stored_six_decimal_scores,original_dev17,mean_token_nll,dev,0.037151,44,8,33,17,0.8461538461538461,0.7213114754098361,0.8048780487804879,0.7787610619469026,0.7549019607843137,0.763094762095162,0.5160744631105038,0.8581359634111563,0.7642942822870852,0.5980392156862745,102
stored_six_decimal_scores,original_dev17,mean_token_nll,test,0.037151,43,12,30,18,0.7818181818181819,0.7049180327868853,0.7142857142857143,0.7413793103448276,0.7087378640776699,0.7096018735362998,0.4129645338227533,0.8319730361347213,0.755464480874317,0.5922330097087378,103
stored_six_decimal_scores,original_dev17,mean_token_entropy,dev,0.004817,50,20,21,11,0.7142857142857143,0.819672131147541,0.5121951219512195,0.7633587786259542,0.696078431372549,0.6659336265493803,0.35066888894652054,0.85513305798541,0.7564974010395842,0.5980392156862745,102
stored_six_decimal_scores,original_dev17,mean_token_entropy,test,0.004817,53,22,20,8,0.7066666666666667,0.8688524590163934,0.47619047619047616,0.7794117647058824,0.7087378640776699,0.6725214676034348,0.3811123785789828,0.8095413408309736,0.7361436377829821,0.5922330097087378,103
stored_six_decimal_scores,original_dev17,max_token_entropy,dev,0.466101,44,11,30,17,0.8,0.7213114754098361,0.7317073170731707,0.7586206896551724,0.7254901960784313,0.7265093962415035,0.445597545858963,0.8214364266804952,0.7473010795681727,0.5980392156862745,102
stored_six_decimal_scores,original_dev17,max_token_entropy,test,0.466101,44,13,29,17,0.7719298245614035,0.7213114754098361,0.6904761904761905,0.7457627118644068,0.7087378640776699,0.7058938329430133,0.4070488698199801,0.8053407662925987,0.7451209992193599,0.5922330097087378,103
stored_six_decimal_scores,original_dev17,one_minus_mean_top2_margin,dev,0.061265,44,7,34,17,0.8627450980392157,0.7213114754098361,0.8292682926829268,0.7857142857142857,0.7647058823529411,0.7752898840463814,0.5398920323892038,0.8620223297897381,0.7664934026389444,0.5980392156862745,102
stored_six_decimal_scores,original_dev17,one_minus_mean_top2_margin,test,0.061265,41,12,30,20,0.7735849056603774,0.6721311475409836,0.7142857142857143,0.7192982456140351,0.6893203883495146,0.6932084309133489,0.37994671583145184,0.8239586767376401,0.7462919594067136,0.5922330097087378,103
stored_six_decimal_scores,original_dev17,one_minus_min_top2_margin,dev,0.334333,43,8,33,18,0.8431372549019608,0.7049180327868853,0.8048780487804879,0.7678571428571429,0.7450980392156863,0.7548980407836865,0.4999000299900035,0.8606285181719482,0.7584966013594562,0.5980392156862745,102
stored_six_decimal_scores,original_dev17,one_minus_min_top2_margin,test,0.334333,41,7,35,20,0.8541666666666666,0.6721311475409836,0.8333333333333334,0.7522935779816514,0.7378640776699029,0.7527322404371585,0.4979414071698933,0.8350726705510306,0.7568306010928961,0.5922330097087378,103
stored_six_decimal_scores,original_dev17,mean_spilled_energy_abs_delta,dev,0.793505,61,40,1,0,0.6039603960396039,1.0,0.024390243902439025,0.7530864197530864,0.6078431372549019,0.5121951219512195,0.12137026557942274,0.5855412565858479,0.3594562175129948,0.5980392156862745,102
stored_six_decimal_scores,original_dev17,mean_spilled_energy_abs_delta,test,0.793505,59,40,2,2,0.5959595959595959,0.9672131147540983,0.047619047619047616,0.7375,0.5922330097087378,0.507416081186573,0.037726493456644104,0.587658403969658,0.41451990632318503,0.5922330097087378,103
stored_six_decimal_scores,original_dev17,max_spilled_energy_abs_delta,dev,0.793505,61,40,1,0,0.6039603960396039,1.0,0.024390243902439025,0.7530864197530864,0.6078431372549019,0.5121951219512195,0.12137026557942274,0.5402863222159285,0.3590563774490204,0.5980392156862745,102
stored_six_decimal_scores,original_dev17,max_spilled_energy_abs_delta,test,0.793505,59,40,2,2,0.5959595959595959,0.9672131147540983,0.047619047619047616,0.7375,0.5922330097087378,0.507416081186573,0.037726493456644104,0.5481077905847863,0.36846213895394225,0.5922330097087378,103
stored_six_decimal_scores,original_dev17,mean_spilled_energy_delta,dev,-2.396714,61,41,0,0,0.5980392156862745,1.0,0.0,0.7484662576687117,0.5980392156862745,0.5,0.0,0.7705122776964328,0.6321471411435425,0.5980392156862745,102
stored_six_decimal_scores,original_dev17,mean_spilled_energy_delta,test,-2.396714,61,42,0,0,0.5922330097087378,1.0,0.0,0.7439024390243902,0.5922330097087378,0.5,0.0,0.7189527134759118,0.5987509758001561,0.5922330097087378,103
stored_six_decimal_scores,original_dev17,negative_mean_spilled_energy_delta,dev,-5.590794,61,41,0,0,0.5980392156862745,1.0,0.0,0.7484662576687117,0.5980392156862745,0.5,0.0,0.6140611637867768,0.3678528588564574,0.5980392156862745,102
